Statistic Label,Month,Meteorological Weather Station,UNIT,VALUE
Lowest Temperature,03/1959,Shannon airport,Degrees C,-0.8
Lowest Temperature,04/1959,Belmullet,Degrees C,1.9
Lowest Temperature,04/1959,Birr,Degrees C,-1.2
Lowest Temperature,04/1959,Valentia Observatory,Degrees C,1.4
Lowest Temperature,04/1959,Casement,Degrees C,0
Lowest Temperature,04/1959,Claremorris,Degrees C,-1.6
Lowest Temperature,04/1959,Clones,Degrees C,-1.6
Lowest Temperature,04/1959,Cork airport,Degrees C,0
Lowest Temperature,04/1959,Dublin airport,Degrees C,0.4
Lowest Temperature,04/1959,Galway,Degrees C,0
Lowest Temperature,04/1959,Kilkenny,Degrees C,-0.5
Lowest Temperature,04/1959,Malin head,Degrees C,0.9
Lowest Temperature,04/1959,Mullingar,Degrees C,-0.9
Lowest Temperature,04/1959,Roches Point,Degrees C,2.2
Lowest Temperature,04/1959,Rosslare,Degrees C,2.7
Lowest Temperature,04/1959,Shannon airport,Degrees C,-0.6
Lowest Temperature,05/1959,Belmullet,Degrees C,1.7
Lowest Temperature,05/1959,Birr,Degrees C,-1.2
Lowest Temperature,05/1959,Valentia Observatory,Degrees C,2.1
Lowest Temperature,05/1959,Casement,Degrees C,0
Lowest Temperature,05/1959,Claremorris,Degrees C,0.1
Lowest Temperature,05/1959,Clones,Degrees C,-0.2
Lowest Temperature,05/1959,Cork airport,Degrees C,0
Lowest Temperature,05/1959,Dublin airport,Degrees C,0.7
Lowest Temperature,05/1959,Galway,Degrees C,0
Lowest Temperature,05/1959,Kilkenny,Degrees C,-0.8
Lowest Temperature,05/1959,Malin head,Degrees C,1.5
Lowest Temperature,05/1959,Mullingar,Degrees C,0
Lowest Temperature,05/1959,Roches Point,Degrees C,3.4
Lowest Temperature,05/1959,Rosslare,Degrees C,4.2
Lowest Temperature,05/1959,Shannon airport,Degrees C,-0.5
Lowest Temperature,06/1959,Belmullet,Degrees C,5.8
Lowest Temperature,06/1959,Birr,Degrees C,4.1
Lowest Temperature,06/1959,Valentia Observatory,Degrees C,5.5
Lowest Temperature,06/1959,Casement,Degrees C,0
Lowest Temperature,06/1959,Claremorris,Degrees C,1.9
Lowest Temperature,06/1959,Clones,Degrees C,4.5
Lowest Temperature,06/1959,Cork airport,Degrees C,0
Lowest Temperature,06/1959,Dublin airport,Degrees C,6.7
Lowest Temperature,06/1959,Galway,Degrees C,0
Lowest Temperature,06/1959,Kilkenny,Degrees C,3.4
Lowest Temperature,06/1959,Malin head,Degrees C,6.1
Lowest Temperature,06/1959,Mullingar,Degrees C,4.5
Lowest Temperature,06/1959,Roches Point,Degrees C,7.1
Lowest Temperature,06/1959,Rosslare,Degrees C,6.1
Lowest Temperature,06/1959,Shannon airport,Degrees C,4.1
Lowest Temperature,07/1959,Belmullet,Degrees C,8.5
Lowest Temperature,07/1959,Birr,Degrees C,5.9
Lowest Temperature,07/1959,Valentia Observatory,Degrees C,6.3
Lowest Temperature,07/1959,Casement,Degrees C,0
Lowest Temperature,07/1959,Claremorris,Degrees C,4.9
Lowest Temperature,07/1959,Clones,Degrees C,6.1
Lowest Temperature,07/1959,Cork airport,Degrees C,0
Lowest Temperature,07/1959,Dublin airport,Degrees C,7.9
Lowest Temperature,07/1959,Galway,Degrees C,0
Lowest Temperature,07/1959,Kilkenny,Degrees C,4
Lowest Temperature,07/1959,Malin head,Degrees C,8.3
Lowest Temperature,07/1959,Mullingar,Degrees C,6.2
Lowest Temperature,07/1959,Roches Point,Degrees C,7.9
Lowest Temperature,07/1959,Rosslare,Degrees C,8.8
Lowest Temperature,07/1959,Shannon airport,Degrees C,6.8
Lowest Temperature,08/1959,Belmullet,Degrees C,8.2
